Domain_Name,Department_Name,ArticleGroup_Name,Supplier Name,Article_No,Article_Name,GrossSale_Price,Tax Code,Tax Amount,Stock,Barcode No,Discount_Price,Full_Desciption,Brand,Description_Points,Description
GROCERY FOODS,GHEE & OILS,OILS,AARSH TRADERS,106648,CANOLIVE COOKING OIL 3LTR BOTTLE ,1900,16,289.83,0,8.96E+12,0,0,0,0,0
GROCERY FOODS,"BREAKFAST,BAKERY&DAIRY",POWDER MILK,AG&C NESTLE,106651,NESTLE EVERYDAY DRY MILK ORIGINAL 560G,1130,16,172.37,3,8.96E+12,0,0,0,0,0
GROCERY FOODS,PULSES & SPICES,COMPANY SPICES,HAJI ABDUL RAUF & COM,107791,NATIONAL RED CHILLI POWDER 200G,320,17,48.81,25,6.21E+11,0,0,0,0,0
GROCERY FOODS,PULSES & SPICES,COMPANY SPICES,HAJI ABDUL RAUF & COM,107794,NATIONAL CHAAT MASALA 85G,190,17,28.98,11,6.21E+11,0,0,0,0,0
GROCERY FOODS,FRUITS & VEGETABLES,VEGETABLES,LOCAL MANDI (F&V),107982,BROCCOLI  PER KG,500,2,0,0,2.85E+12,0,0,0,0,0
GROCERY FOODS,FROZEN FOOD,FROZEN READY TO COOK,SABROSO ,108329,SABROSO CHICKEN DONUT 310G,545,16,83.14,0,8.96E+12,0,0,0,0,0
GROCERY FOODS,GHEE & OILS,BANASPATI & GHEE,WHOLE SALER,108744,KAUSAR BANASPATI GHEE 1KG  ,520,16,79.32,2,94922989178,0,0,0,0,0
GROCERY FOODS,BABY FOOD,BABY FOOD,AG&C NESTLE,110826,NESTLE NAN OPTIPRO 1 300GM,1099,16,167.64,10,8.96E+12,0,0,0,0,0
GROCERY FOODS,GHEE & OILS,OLIVE OILS,DISTRIBUTION MANAGEMENT,111141,BORGES EXTRA VVIRGIN 1LTR,5800,16,884.75,6,8.41E+12,0,0,0,0,0
GROCERY NON-FOOD,KITCHEN CARE,DISH WASH,K&Y ENTERPRISES COLGATE&PALMOLIVE,111927,LEMON MAX POWER CLEANER POWDER 790GM,160,17,24.41,42,8.89E+12,0,0,0,0,0
GROCERY NON-FOOD,MEN & WOMEN ITEM'S,SHAMPOO & CONDITIONERS,WHOLE SALER,112239,UM VATIKA HONEY & EGG SHAMPO 185ML,390,2,0,3,6.29E+12,0,0,0,0,0
GROCERY NON-FOOD,MEN & WOMEN ITEM'S,TOOTH PASTES & BRUSH & TOOTH PICK,K&Y ENTERPRISES COLGATE&PALMOLIVE,112804,COLGATE MISVAK 100GM,200,17,30.51,0,8.89E+12,0,0,0,0,0
GROCERY FOODS,"BREAKFAST,BAKERY&DAIRY",MILK & YOGURT,AYAN ENTERPRISES ,113101,GOOD MILK 250ML,90,16,13.73,14,8.92E+11,0,0,0,0,0
GROCERY NON-FOOD,SKIN CARE,SOAP,WHOLE SALER,115276,DETTOL COOL SOAP  80G,140,17,21.36,12,8.96E+12,0,0,0,0,0
